InstanceN Feature1 Feature2 Feature3 Class
0 3.5 1.4 0.2 0
1 3 1.4 0.2 0
2 3.2 1.3 0.2 0
3 3.1 1.5 0.2 0
4 3.6 1.4 0.2 0
5 3.9 1.7 0.4 0
6 3.4 1.4 0.3 0
7 3.4 1.5 0.2 0
8 2.9 1.4 0.2 0
9 3.1 1.5 0.1 0
10 3.7 1.5 0.2 0
11 3.4 1.6 0.2 0
12 3 1.4 0.1 0
13 3 1.1 0.1 0
14 4 1.2 0.2 0
15 4.4 1.5 0.4 0
16 3.9 1.3 0.4 0
17 3.5 1.4 0.3 0
18 3.8 1.7 0.3 0
19 3.8 1.5 0.3 0
20 3.4 1.7 0.2 0
21 3.7 1.5 0.4 0
22 3.6 1 0.2 0
23 3.3 1.7 0.5 0
24 3.4 1.9 0.2 0
25 3 1.6 0.2 0
26 3.4 1.6 0.4 0
27 3.5 1.5 0.2 0
28 3.4 1.4 0.2 0
29 3.2 1.6 0.2 0
30 3.1 1.6 0.2 0
31 3.4 1.5 0.4 0
32 4.1 1.5 0.1 0
33 4.2 1.4 0.2 0
34 3.1 1.5 0.1 0
35 3.2 1.2 0.2 0
36 3.5 1.3 0.2 0
37 3.1 1.5 0.1 0
38 3 1.3 0.2 0
39 3.4 1.5 0.2 0
40 3.5 1.3 0.3 0
41 2.3 1.3 0.3 0
42 3.2 1.3 0.2 0
43 3.5 1.6 0.6 0
44 3.8 1.9 0.4 0
45 3 1.4 0.3 0
46 3.8 1.6 0.2 0
47 3.2 1.4 0.2 0
48 3.7 1.5 0.2 0
49 3.3 1.4 0.2 0
50 3.2 4.7 1.4 1
51 3.2 4.5 1.5 1
52 3.1 4.9 1.5 1
53 2.3 4 1.3 1
54 2.8 4.6 1.5 1
55 2.8 4.5 1.3 1
56 3.3 4.7 1.6 1
57 2.4 3.3 1 1
58 2.9 4.6 1.3 1
59 2.7 3.9 1.4 1
60 2 3.5 1 1
61 3 4.2 1.5 1
62 2.2 4 1 1
63 2.9 4.7 1.4 1
64 2.9 3.6 1.3 1
65 3.1 4.4 1.4 1
66 3 4.5 1.5 1
67 2.7 4.1 1 1
68 2.2 4.5 1.5 1
69 2.5 3.9 1.1 1
70 3.2 4.8 1.8 1
71 2.8 4 1.3 1
72 2.5 4.9 1.5 1
73 2.8 4.7 1.2 1
74 2.9 4.3 1.3 1
75 3 4.4 1.4 1
76 2.8 4.8 1.4 1
77 3 5 1.7 1
78 2.9 4.5 1.5 1
79 2.6 3.5 1 1
80 2.4 3.8 1.1 1
81 2.4 3.7 1 1
82 2.7 3.9 1.2 1
83 2.7 5.1 1.6 1
84 3 4.5 1.5 1
85 3.4 4.5 1.6 1
86 3.1 4.7 1.5 1
87 2.3 4.4 1.3 1
88 3 4.1 1.3 1
89 2.5 4 1.3 1
90 2.6 4.4 1.2 1
91 3 4.6 1.4 1
92 2.6 4 1.2 1
93 2.3 3.3 1 1
94 2.7 4.2 1.3 1
95 3 4.2 1.2 1
96 2.9 4.2 1.3 1
97 2.9 4.3 1.3 1
98 2.5 3 1.1 1
99 2.8 4.1 1.3 1
100 nan nan nan nan
